"","tube.no","pot.no","intercept","intercept.pvalue","slope","slope.pvalue","adj.R2"
"299","Q_383","Q_383","-2.62908384380792","3.7436170098533e-08","0.269460167089653","8.84380223010514e-08","0.992346630183852"
"300","Q_384","Q_384","-2.76848125887591","NaN","0.414602871494316","NaN","NaN"
"301","Q_387","Q_387","-2.6266507030953","0.0022675832334224","0.242378302775032","0.00544952637798246","0.999853453091821"
"302","Q_388","Q_388","-1.69089431603178","0.0382544311739702","0.0324140701361903","0.520348274821742","-0.0638824603177719"
"303","Q_389","Q_389","-2.67295090926386","NaN","0.403155635866994","NaN","NaN"
"304","Q_390","Q_390","-2.81636004508816","3.66690474111895e-05","0.232035971765293","0.000282362379716203","0.888604887219729"
"305","Q_391","Q_391","-2.40208043875913","NaN","0.148285509934513","NaN","NaN"
"306","Q_392","Q_392","-2.38568985645969","0.0357085538909645","0.204685860816075","0.139258817297409","0.905816023219694"
"307","Q_393","Q_393","-2.83741922622954","7.70165359295692e-08","0.297245307636546","2.66992104909914e-07","0.978516917433976"
"308","Q_394","Q_394","-2.49779927188643","8.18191077792681e-08","0.294856252278663","1.24482585123577e-07","0.98271801057328"
"309","Q_395","Q_395","-2.63484062184931","NaN","0.365045348452448","NaN","NaN"
"310","Q_397","Q_397","-2.22991858514047","1.98758512202379e-07","0.259329418680053","3.34609492188273e-07","0.97708886079866"
"311","Q_398","Q_398","-2.22246027155322","2.18064491184825e-07","0.28048913764732","2.09057251631105e-07","0.979964217210508"
"312","Q_399","Q_399","-2.84777556598379","1.73478958106752e-07","0.270147163982869","6.46901928030577e-07","0.985154943728702"
"313","Q_401","Q_401","-2.05657344555308","0.00360950749066607","0.139267416800538","0.0181010681053998","0.998383554309864"
"314","","Q_402","-1.9369361983138","0.00601212287491663","0.0117106510082112","0.212295615009646","0.785714285714299"
"315","Q_403","Q_403","-1.5602248043571","0.0290709918054665","0.0170010169664704","0.610349561838182","-0.339770973070733"
"316","Q_404","Q_404","-2.87192105834653","5.89185912985848e-07","0.28835110352134","2.6867596410934e-06","0.958530659248521"
"317","Q_405","Q_405","-2.98007668125836","3.14690393605011e-06","0.255441460851228","2.07392521398674e-05","0.953006556918403"
"318","Q_406","Q_406","-2.35605906989891","2.75978666282344e-08","0.281427618081768","3.87443731123271e-08","0.987612772264012"
"319","Q_407","Q_407","-2.48197766176316","NaN","0.389113097048484","NaN","NaN"
"320","Q_409","Q_409","-2.32991924332407","NaN","0.152497290342853","NaN","NaN"
"321","Q_410","Q_410","-2.64430224696075","2.4901959883953e-07","0.269173004790343","6.10324098181582e-07","0.985439735531348"
"322","Q_411","Q_411","-2.93874125068443","0.0540229072737376","0.328506113920014","0.161031476571291","0.874740969091335"
"323","Q_412","Q_412","-2.85458011710569","2.37004385400568e-06","0.313388715613001","5.82834430047967e-06","0.94831424424363"
"324","Q_413","Q_413","-2.78828695065713","1.38473550425289e-07","0.273629229744384","4.22508233482893e-07","0.987117317347477"
"325","Q_414","Q_414","-2.79881357992361","3.62722882589866e-06","0.226918508216664","3.28685653706835e-05","0.94525735796994"
"326","Q_415","Q_415","-2.20988196700972","0.0245947071188738","0.186412884407654","0.098300119559141","0.952693200138392"
"327","Q_416","Q_416","-2.13488069344244","2.63235886372294e-08","0.269787924975049","2.50010889762822e-08","0.989068517652107"
"328","Q_417","Q_417","-2.55127018038894","4.51731476880005e-05","0.348139661068908","0.00010835545926599","0.978812263154986"
"329","Q_420","Q_420","-2.36198356548331","4.46310327016758e-10","0.301423365481815","3.95765478068843e-10","0.996653687943855"
"330","Q_421","Q_421","-3.06309251141601","0.000149671303239627","0.368703430144852","0.000579610050175111","0.95118079367148"
"331","Q_425","Q_425","-3.08379102100833","1.70689317210627e-08","0.324860520524236","5.72862209642012e-08","0.986150377754154"
"332","Q_426","Q_426","-2.52082182948831","NaN","0.282775260756835","NaN","NaN"
"333","Q_427","Q_427","-2.24756414293147","0.0667583127889666","0.356014542003324","0.141319755809507","0.903053941859564"
"334","Q_428","Q_428","-2.26149467165751","5.08948813301569e-07","0.317709347432882","2.33562276931409e-07","0.979320868277074"
"335","Q_431","Q_431","-2.68051753437617","1.01010439977245e-07","0.350842667754165","7.52737722326371e-08","0.985028204068244"
"336","Q_432","Q_432","-2.44901522439675","5.43130480368179e-06","0.306525837919789","5.51157188762725e-06","0.949128750837421"
